Wall time,Step,Value
1670919853.6576176,52349,0.71875
1670919994.1369793,52649,0.84375
1670920017.5305867,52699,0.8125
1670920087.7840567,52849,0.75
1670920134.2018409,52949,0.84375
1670920157.464408,52999,0.75
1670920181.01874,53049,0.71875
1670920244.0868697,53149,0.6875
1670920313.2067008,53299,0.875
1670920359.817639,53399,0.71875
1670920405.938261,53499,0.78125
1670920429.3180647,53549,0.90625
1670920452.4684594,53599,0.71875
1670920475.9514291,53649,0.78125
1670920499.044709,53699,0.78125
1670920522.4816427,53749,0.875
1670920592.672248,53899,0.84375
1670920616.0743568,53949,0.78125
1670920662.62979,54049,0.875
1670920686.1363637,54099,0.90625
1670920709.3713822,54149,0.84375
1670920779.3341455,54299,0.75
1670920802.7413757,54349,0.78125
1670920825.8611233,54399,0.78125
1670920919.8159838,54599,0.8125
1670921100.3042576,54949,0.8125
1670921146.9251072,55049,0.875
1670921193.4092047,55149,0.65625
1670921216.7756243,55199,0.78125
1670921239.9865997,55249,0.75
1670921309.9744694,55399,0.875
1670921356.4409456,55499,0.71875
1670921403.3309221,55599,0.6875
1670921426.8839183,55649,0.78125
1670921473.3688223,55749,0.71875
1670921590.2322385,55999,0.84375
1670921636.8854513,56099,0.71875
1670921660.299952,56149,0.8125
1670921730.481726,56299,0.84375
1670921754.09017,56349,0.84375
1670921800.9049268,56449,0.65625
1670921824.3348436,56499,0.875
1670921847.8067377,56549,0.75
1670921871.3754644,56599,0.78125
1670921894.979055,56649,0.8125
1670921939.5822165,56749,0.75
1670921981.6531157,56799,0.875
1670922004.9790432,56849,0.875
1670922074.5733223,56999,0.84375
1670922144.7736497,57149,0.84375
1670922215.0012162,57299,0.84375
1670922238.1216567,57349,0.8125
1670922284.8274841,57449,0.8125
1670922331.3815126,57549,0.75
1670922354.8657174,57599,0.75
1670922378.2413695,57649,0.78125
1670922401.3101697,57699,0.84375
1670922565.6157014,58049,0.71875
1670922612.3749251,58149,0.84375
1670922658.9284222,58249,0.78125
1670922705.3629549,58349,0.6875
1670922729.065004,58399,0.8125
1670922885.7420354,58699,0.875
1670922908.853232,58749,0.6875
1670922955.471422,58849,0.875
1670922978.8939204,58899,0.8125
1670923002.3041644,58949,0.90625
1670923095.6585412,59149,0.84375
1670923142.2337823,59249,0.84375
1670923189.4292855,59349,0.65625
1670923236.1124249,59449,0.78125
1670923260.023791,59499,0.90625
1670923283.3504853,59549,0.75
1670923354.2920187,59699,0.8125
1670923377.8161538,59749,0.65625
1670923401.325856,59799,0.9375
1670923448.6656823,59899,0.75
1670923472.4051864,59949,0.84375
1670923542.6262608,60099,0.8125
1670923636.202579,60299,0.875
1670923659.6355262,60349,0.84375
1670923681.9386294,60399,0.71875
1670923745.4419184,60499,0.875
1670923838.4890175,60699,0.8125
1670923861.6570952,60749,0.75
1670923885.1158373,60799,0.84375
1670923955.3148074,60949,0.78125
1670924072.3968706,61199,0.90625
1670924119.1214712,61299,0.9375
1670924212.5176744,61499,0.75
1670924283.1000533,61649,0.90625
1670924306.555513,61699,0.84375
1670924423.552415,61949,0.875
1670924470.3610394,62049,0.75
1670924493.4572394,62099,0.75
1670924516.5901566,62149,0.84375
1670924540.2200537,62199,0.625
1670924560.760085,62249,0.78125
1670924603.433441,62299,0.84375
1670924626.4941664,62349,0.9375
1670924696.0874689,62499,0.78125
1670924719.5114567,62549,0.75
1670924742.70325,62599,0.84375
1670924766.1817508,62649,0.78125
1670924812.6833198,62749,0.84375
1670924859.2971854,62849,0.8125
1670924882.6973865,62899,0.78125
1670924952.4336731,63049,0.8125
1670924975.7452848,63099,0.78125
1670925116.3124099,63399,0.84375
1670925210.3908098,63599,0.6875
1670925327.3107586,63849,0.8125
1670925350.9405382,63899,0.96875
1670925374.1451538,63949,0.78125
1670925483.7571898,64149,0.625
1670925553.6786847,64299,0.84375
1670925670.3713531,64549,0.96875
1670925740.4880228,64699,0.875
1670925810.903718,64849,0.6875
1670925857.8966749,64949,0.75
1670925881.6563032,64999,0.84375
1670925951.6906798,65149,0.75
1670926044.5260537,65349,0.84375
1670926137.6425812,65549,0.90625
1670926254.810868,65799,0.9375
1670926388.6023455,66049,0.8125
1670926435.2867198,66149,0.9375
1670926505.1913843,66299,0.78125
1670926528.444143,66349,0.90625
1670926575.2556362,66449,0.59375
1670926738.905446,66799,0.875
1670926950.1778188,67249,0.84375
1670926973.8496847,67299,0.78125
1670927020.8565972,67399,0.8125
1670927044.0937607,67449,0.8125
1670927114.40992,67599,0.84375
1670927137.9911487,67649,1.0
1670927199.8948073,67749,0.8125
1670927294.1729453,67949,0.9375
1670927340.8806012,68049,0.78125
1670927433.5937746,68249,0.9375
1670927456.7906604,68299,0.78125
1670927480.298249,68349,0.75
1670927503.7569995,68399,0.875
1670927527.3183885,68449,0.875
1670927620.6234708,68649,0.9375
1670927644.2121127,68699,0.71875
1670927691.3849936,68799,0.78125
1670927714.9890554,68849,0.84375
1670927808.5603578,69049,0.78125
1670927926.1779768,69299,0.8125
1670927949.760226,69349,0.71875
1670928042.9462261,69549,0.90625
1670928129.6712973,69699,0.75
1670928222.3406944,69899,0.75
1670928362.3021684,70199,0.65625
1670928667.381261,70849,0.75
1670928691.0489953,70899,0.71875
1670928785.15759,71099,0.78125
1670929035.522738,71599,0.875
1670929058.7730386,71649,0.75
1670929151.4944794,71849,0.78125
1670929198.2061145,71949,0.6875
1670929221.794864,71999,0.78125
1670929245.1715229,72049,0.90625
1670929268.64686,72099,0.75
1670929339.2624776,72249,0.875
